Category;gnu lib;MS lib d32;MS lib d64
n=1;1.68945e-005;1.5918e-005;1.64062e-005
n=10;1.51367e-005;1.66016e-005;1.71875e-005
n=100;2.10938e-005;1.68945e-005;2.7832e-005
n=1e3;8.94531e-005;2.85156e-005;3.4375e-005
n=1e5;0.00716768;0.00152344;0.00180234
n=1e7;0.715903;0.316111;0.291942
